Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft	SoftGerm	SoftUngerm	SoftAbn	SoftDead	HardUngermFinal
3	Monti	S1	24/06/2015	15	up	13/05/2016	3	50	42	4	4	0	0	0	0
3	Narrikup	S1	24/06/2015	16	up	13/05/2016	3	50	45	3	3	0	0	0	0
3	Denmark	S1	24/06/2015	17	up	13/05/2016	3	50	37	0	0	0	0	0	0
3	Leura	S1	24/06/2015	18	up	13/05/2016	3	50	22	0	0	0	0	0	0
1	Antas 	S1	24/06/2015	1	down	13/05/2016	3	24	15	1	1	0	0	0	0
1	Monti	S1	24/06/2015	2	down	13/05/2016	3	50	40	1	1	0	0	0	0
1	Denmark	S1	24/06/2015	3	down	13/05/2016	3	50	34	3	3	0	0	0	0
1	Leura	S1	24/06/2015	4	down	13/05/2016	3	50	30	5	5	0	0	0	0
1	Narrikup	S1	24/06/2015	5	down	13/05/2016	3	50	42	1	1	0	0	0	0
1	Woogenellup	S1	24/06/2015	6	down	13/05/2016	3	50	33	1	1	0	0	0	0
2	Antas 	S1	24/06/2015	7	down	13/05/2016	3	50	37	1	1	0	0	0	0
2	Woogenellup	S1	24/06/2015	8	down	13/05/2016	3	50	38	2	2	0	0	0	0
2	Denmark	S1	24/06/2015	9	down	13/05/2016	3	50	42	1	1	0	0	0	0
2	Monti	S1	24/06/2015	10	down	13/05/2016	3	50	45	5	5	0	0	0	0
2	Narrikup	S1	24/06/2015	11	down	13/05/2016	3	50	40	0	0	0	0	0	0
2	Leura	S1	24/06/2015	12	down	13/05/2016	3	50	29	0	0	0	0	0	0
3	Woogenellup	S1	24/06/2015	13	down	13/05/2016	3	50	34	2	2	0	0	0	0
3	Antas 	S1	24/06/2015	14	down	13/05/2016	3	50	34	3	3	0	0	0	0
3	Monti	S1	24/06/2015	15	down	13/05/2016	3	50	46	5	5	0	0	0	0
3	Narrikup	S1	24/06/2015	16	down	13/05/2016	3	50	45	0	0	0	0	0	0
3	Denmark	S1	24/06/2015	17	down	13/05/2016	3	50	34	1	1	0	0	0	0
3	Leura	S1	24/06/2015	18	down	13/05/2016	3	50	29	1	0	0	1	0	0
1	Narrikup	S2	28/07/2015	19	up	27/05/2016	2	50	27	1	1	0	0	0	0
1	Monti	S2	28/07/2015	20	up	27/05/2016	2	50	48	0	0	0	0	0	0
1	Woogenellup	S2	28/07/2015	21	up	27/05/2016	2	50	40	1	1	0	0	0	0
1	Leura	S2	28/07/2015	22	up	27/05/2016	2	50	44	1	0	1	0	0	0
