"SowingD" "Date" "Cultivar" "SowTreat" "DAS" "Plot" "Variable" "S1" "S2" "S3" "S4" "S5" "Percent" "TT_meas" "TT_sow" "Pp_sow" "TTAS"
"73" 2015-06-24 2015-10-12 "Monti" "S1" 110 10 "Early" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"74" 2015-06-24 2015-10-12 "Monti" "S1" 110 10 "Open" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"75" 2015-06-24 2015-10-12 "Monti" "S1" 110 10 "Petal" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"76" 2015-06-24 2015-10-12 "Monti" "S1" 110 10 "Bur1" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"77" 2015-06-24 2015-10-12 "Monti" "S1" 110 10 "Bur2" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"78" 2015-06-24 2015-10-12 "Monti" "S1" 110 10 "Bur3" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"79" 2015-06-24 2015-10-12 "Monti" "S1" 110 10 "Bur4" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"80" 2015-06-24 2015-10-12 "Narrikup" "S1" 110 11 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"81" 2015-06-24 2015-10-12 "Narrikup" "S1" 110 11 "Early" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"82" 2015-06-24 2015-10-12 "Narrikup" "S1" 110 11 "Open" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"83" 2015-06-24 2015-10-12 "Narrikup" "S1" 110 11 "Petal" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"84" 2015-06-24 2015-10-12 "Narrikup" "S1" 110 11 "Bur1" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"85" 2015-06-24 2015-10-12 "Narrikup" "S1" 110 11 "Bur2" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"86" 2015-06-24 2015-10-12 "Narrikup" "S1" 110 11 "Bur3" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"87" 2015-06-24 2015-10-12 "Narrikup" "S1" 110 11 "Bur4" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"88" 2015-06-24 2015-10-12 "Leura" "S1" 110 12 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"89" 2015-06-24 2015-10-12 "Leura" "S1" 110 12 "Early" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"90" 2015-06-24 2015-10-12 "Leura" "S1" 110 12 "Open" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"91" 2015-06-24 2015-10-12 "Leura" "S1" 110 12 "Petal" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"92" 2015-06-24 2015-10-12 "Leura" "S1" 110 12 "Bur1" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"93" 2015-06-24 2015-10-12 "Leura" "S1" 110 12 "Bur2" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"94" 2015-06-24 2015-10-12 "Leura" "S1" 110 12 "Bur3" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"95" 2015-06-24 2015-10-12 "Leura" "S1" 110 12 "Bur4" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"96" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 13 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"97" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 13 "Early" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"98" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 13 "Open" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"99" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 13 "Petal" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"100" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 13 "Bur1" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"101" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 13 "Bur2" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"102" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 13 "Bur3" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"103" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 13 "Bur4" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"104" 2015-06-24 2015-10-12 "Antas" "S1" 110 14 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"105" 2015-06-24 2015-10-12 "Antas" "S1" 110 14 "Early" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"106" 2015-06-24 2015-10-12 "Antas" "S1" 110 14 "Open" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"107" 2015-06-24 2015-10-12 "Antas" "S1" 110 14 "Petal" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"108" 2015-06-24 2015-10-12 "Antas" "S1" 110 14 "Bur1" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"109" 2015-06-24 2015-10-12 "Antas" "S1" 110 14 "Bur2" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"110" 2015-06-24 2015-10-12 "Antas" "S1" 110 14 "Bur3" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"111" 2015-06-24 2015-10-12 "Antas" "S1" 110 14 "Bur4" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"112" 2015-06-24 2015-10-12 "Monti" "S1" 110 15 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"113" 2015-06-24 2015-10-12 "Monti" "S1" 110 15 "Early" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"114" 2015-06-24 2015-10-12 "Monti" "S1" 110 15 "Open" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"115" 2015-06-24 2015-10-12 "Monti" "S1" 110 15 "Petal" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"116" 2015-06-24 2015-10-12 "Monti" "S1" 110 15 "Bur1" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"117" 2015-06-24 2015-10-12 "Monti" "S1" 110 15 "Bur2" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"118" 2015-06-24 2015-10-12 "Monti" "S1" 110 15 "Bur3" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"119" 2015-06-24 2015-10-12 "Monti" "S1" 110 15 "Bur4" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"120" 2015-06-24 2015-10-12 "Narrikup" "S1" 110 16 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
