"Date" "TT"
"270" 2016-03-19 3373.646507251
"271" 2016-03-20 3396.223007251
"272" 2016-03-21 3418.757507251
"273" 2016-03-22 3438.609507251
"274" 2016-03-23 3454.491007251
"275" 2016-03-24 3474.125007251
"276" 2016-03-25 3486.692507251
"277" 2016-03-26 3499.365007251
"278" 2016-03-27 3516.236507251
"279" 2016-03-28 3531.499507251
"280" 2016-03-29 3546.398007251
"281" 2016-03-30 3559.116507251
"282" 2016-03-31 3571.193507251
"283" 2016-04-01 3589.307507251
"284" 2016-04-02 3604.854507251
"285" 2016-04-03 3624.138507251
"286" 2016-04-04 3634.592007251
"287" 2016-04-05 3645.571007251
"288" 2016-04-06 3659.925507251
"289" 2016-04-07 3677.877007251
"290" 2016-04-08 3693.199507251
"291" 2016-04-09 3706.200007251
"292" 2016-04-10 3719.594007251
"293" 2016-04-11 3736.249007251
"294" 2016-04-12 3751.217007251
"295" 2016-04-13 3760.385007251
"296" 2016-04-14 3774.121507251
"297" 2016-04-15 3784.735507251
"298" 2016-04-16 3800.863007251
"299" 2016-04-17 3813.174007251
"300" 2016-04-18 3824.911507251
"301" 2016-04-19 3836.421007251
"302" 2016-04-20 3848.420507251
"303" 2016-04-21 3859.906007251
"304" 2016-04-22 3875.016007251
"305" 2016-04-23 3890.533507251
"306" 2016-04-24 3900.823007251
"307" 2016-04-25 3913.504007251
"308" 2016-04-26 3925.663507251
"309" 2016-04-27 3937.321507251
"310" 2016-04-28 3950.865007251
"311" 2016-04-29 3958.719507251
"312" 2016-04-30 3969.645007251
"313" 2016-05-01 3986.682507251
"314" 2016-05-02 4003.220507251
"315" 2016-05-03 4020.817507251
"316" 2016-05-04 4038.556507251
"317" 2016-05-05 4054.763007251
"318" 2016-05-06 4064.575007251
"319" 2016-05-07 4077.558007251
"320" 2016-05-08 4093.493007251
"321" 2016-05-09 4104.560007251
"322" 2016-05-10 4120.744507251
"323" 2016-05-11 4141.620007251
"324" 2016-05-12 4158.726507251
"325" 2016-05-13 4175.057007251
"326" 2016-05-14 4189.380507251
"327" 2016-05-15 4202.331507251
"328" 2016-05-16 4216.302007251
"329" 2016-05-17 4224.652507251
"330" 2016-05-18 4236.312007251
"331" 2016-05-19 4247.512507251
"332" 2016-05-20 4257.685507251
"333" 2016-05-21 4267.649507251
"334" 2016-05-22 4275.742507251
"335" 2016-05-23 4284.224507251
"336" 2016-05-24 4292.600007251
"337" 2016-05-25 4301.955007251
"338" 2016-05-26 4311.282507251
"339" 2016-05-27 4318.493507251
"340" 2016-05-28 4328.142007251
"341" 2016-05-29 4337.352007251
"342" 2016-05-30 4344.870007251
"343" 2016-05-31 4351.515007251
"344" 2016-06-01 4356.933007251
"345" 2016-06-02 4362.543007251
"346" 2016-06-03 4369.327507251
"347" 2016-06-04 4375.435507251
"348" 2016-06-05 4381.778007251
"349" 2016-06-06 4387.072507251
"350" 2016-06-07 4395.126007251
"351" 2016-06-08 4404.119507251
"352" 2016-06-09 4417.093007251
"353" 2016-06-10 4433.930507251
"354" 2016-06-11 4445.681007251
"355" 2016-06-12 4454.562007251
"356" 2016-06-13 4460.987007251
"357" 2016-06-14 4471.156007251
"358" 2016-06-15 4480.680507251
"359" 2016-06-16 4487.171507251
"360" 2016-06-17 4493.397007251
"361" 2016-06-18 4500.573507251
"362" 2016-06-19 4510.112507251
"363" 2016-06-20 4521.040507251
"364" 2016-06-21 4532.259007251
"365" 2016-06-22 4549.583007251
"366" 2016-06-23 4562.683007251
"367" 2016-06-24 4571.052507251
"368" 2016-06-25 4577.066007251
"369" 2016-06-26 4585.075007251
"370" 2016-06-27 4593.855007251
"371" 2016-06-28 4602.804507251
"372" 2016-06-29 4608.920007251
"373" 2016-06-30 4615.089007251
"374" 2016-07-01 4620.112507251
"375" 2016-07-02 4624.554007251
"376" 2016-07-03 4634.286007251
