"Block" "Cultivar" "SowTreat" "SowingD" "Plot" "Depth" "Date" "Round" "SeedNumber" "Soft" "PropSoft" "hardSeed" "transf_no" "transf_sqr" "transf_log" "transf_acos" "transf_power3" "transf_log10"
"46" "2" "Narrikup" "S2" "28/07/2015" "28" "up" 2016-03-16 1 50 21 42 58 58 7.61577310586391 4.06044301054642 0.952067636122646 195112 1.76342799356294
"47" "2" "Antas" "S2" "28/07/2015" "29" "up" 2016-03-16 1 50 34 68 32 32 5.65685424949238 3.46573590279973 1.24506683950027 32768 1.50514997831991
"48" "2" "Monti" "S2" "28/07/2015" "30" "up" 2016-03-16 1 50 5 10 90 90 9.48683298050514 4.49980967033027 0.451026811796262 729000 1.95424250943932
"49" "3" "Denmark" "S2" "28/07/2015" "31" "up" 2016-03-16 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"50" "3" "Antas" "S2" "28/07/2015" "32" "up" 2016-03-16 1 50 13 26 74 74 8.60232526704263 4.30406509320417 0.737725968453249 405224 1.86923171973098
"51" "3" "Monti" "S2" "28/07/2015" "33" "up" 2016-03-16 1 50 8 16 84 84 9.16515138991168 4.43081679884331 0.573513104423097 592704 1.92427928606188
"52" "3" "Woogenellup" "S2" "28/07/2015" "34" "up" 2016-03-16 1 50 27 54 46 46 6.78232998312527 3.8286413964891 1.09280112827594 97336 1.66275783168157
"53" "3" "Leura" "S2" "28/07/2015" "35" "up" 2016-03-16 1 50 10 20 80 80 8.94427190999916 4.38202663467388 0.643501108793284 512000 1.90308998699194
"54" "3" "Narrikup" "S2" "28/07/2015" "36" "up" 2016-03-16 1 50 34 68 32 32 5.65685424949238 3.46573590279973 1.24506683950027 32768 1.50514997831991
"55" "1" "Narrikup" "S2" "28/07/2015" "19" "down" 2016-03-16 1 50 19 38 62 62 7.87400787401181 4.12713438504509 0.902053623592525 238328 1.79239168949825
