"Cultivar" "SowTreat" "Variable" "DateMeasure" "SowingD" "avP" "avTT"
"110" "Antas" "S2" "Bur2" 2015-12-29 2015-07-28 73.3333333333333 NA
"111" "Antas" "S2" "Bur3" 2015-12-10 2015-07-28 20 NA
"112" "Antas" "S2" "Bur3" 2015-12-14 2015-07-28 20 NA
"113" "Antas" "S2" "Bur3" 2015-12-18 2015-07-28 6.66666666666667 NA
"114" "Antas" "S2" "Bur3" 2015-12-22 2015-07-28 13.3333333333333 NA
"115" "Antas" "S2" "Bur3" 2015-12-29 2015-07-28 80 NA
"116" "Antas" "S2" "Bur4" 2015-12-10 2015-07-28 0 NA
"117" "Antas" "S2" "Bur4" 2015-12-14 2015-07-28 0 NA
"118" "Antas" "S2" "Bur4" 2015-12-18 2015-07-28 0 NA
"119" "Antas" "S2" "Bur4" 2015-12-22 2015-07-28 0 NA
"120" "Antas" "S2" "Bur4" 2015-12-29 2015-07-28 13.3333333333333 NA
"121" "Antas" "S2" "Early" 2015-11-02 2015-07-28 0 NA
"122" "Antas" "S2" "Early" 2015-11-04 2015-07-28 13.3333333333333 NA
"123" "Antas" "S2" "Early" 2015-11-09 2015-07-28 53.3333333333333 NA
"124" "Antas" "S2" "Early" 2015-11-14 2015-07-28 66.6666666666667 NA
"125" "Antas" "S2" "Early" 2015-11-19 2015-07-28 46.6666666666667 NA
"126" "Antas" "S2" "Early" 2015-11-24 2015-07-28 20 NA
"127" "Antas" "S2" "Early" 2015-11-27 2015-07-28 33.3333333333333 NA
"128" "Antas" "S2" "Early" 2015-12-02 2015-07-28 0 NA
"129" "Antas" "S2" "Early" 2015-12-07 2015-07-28 6.66666666666667 NA
"130" "Antas" "S2" "Early" 2015-12-10 2015-07-28 6.66666666666667 NA
"131" "Antas" "S2" "Early" 2015-12-14 2015-07-28 13.3333333333333 NA
"132" "Antas" "S2" "Early" 2015-12-18 2015-07-28 0 NA
"133" "Antas" "S2" "Early" 2015-12-22 2015-07-28 6.66666666666667 NA
"134" "Antas" "S2" "Early" 2015-12-29 2015-07-28 0 NA
"135" "Antas" "S2" "Open" 2015-11-09 2015-07-28 6.66666666666667 NA
"136" "Antas" "S2" "Open" 2015-11-14 2015-07-28 100 NA
"137" "Antas" "S2" "Open" 2015-11-19 2015-07-28 66.6666666666667 NA
"138" "Antas" "S2" "Open" 2015-11-24 2015-07-28 43.3333333333333 NA
"139" "Antas" "S2" "Open" 2015-11-27 2015-07-28 73.3333333333333 NA
"140" "Antas" "S2" "Open" 2015-12-02 2015-07-28 73.3333333333333 NA
"141" "Antas" "S2" "Open" 2015-12-07 2015-07-28 46.6666666666667 NA
"142" "Antas" "S2" "Open" 2015-12-10 2015-07-28 33.3333333333333 NA
"143" "Antas" "S2" "Open" 2015-12-14 2015-07-28 13.3333333333333 NA
"144" "Antas" "S2" "Open" 2015-12-18 2015-07-28 20 NA
"145" "Antas" "S2" "Open" 2015-12-22 2015-07-28 13.3333333333333 NA
"146" "Antas" "S2" "Open" 2015-12-29 2015-07-28 0 NA
"147" "Antas" "S2" "Petal" 2015-11-09 2015-07-28 0 NA
"148" "Antas" "S2" "Petal" 2015-11-14 2015-07-28 33.3333333333333 NA
"149" "Antas" "S2" "Petal" 2015-11-19 2015-07-28 0 NA
"150" "Antas" "S2" "Petal" 2015-11-24 2015-07-28 36.6666666666667 NA
"151" "Antas" "S2" "Petal" 2015-11-27 2015-07-28 60 NA
"152" "Antas" "S2" "Petal" 2015-12-02 2015-07-28 80 NA
"153" "Antas" "S2" "Petal" 2015-12-07 2015-07-28 86.6666666666667 NA
"154" "Antas" "S2" "Petal" 2015-12-10 2015-07-28 80 NA
