"SowingD" "Date" "Cultivar" "SowTreat" "DAS" "Plot" "Variable" "S1" "S2" "S3" "S4" "S5" "Percent" "TT_meas" "TT_sow" "Pp_sow" "TTAS"
"49" "2015-06-24" "2015-10-19" "Woogenellup" "S1" 117 8 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"50" "2015-06-24" "2015-10-19" "Denmark" "S1" 117 9 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"51" "2015-06-24" "2015-10-19" "Antas" "S1" 117 1 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"52" "2015-06-24" "2015-10-19" "Narrikup" "S1" 117 16 "Bud" 1 0 1 0 0 40 1111.88777174 13.055375 10.022 1098.83239674
"53" "2015-06-24" "2015-10-19" "Denmark" "S1" 117 3 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"54" "2015-06-24" "2015-10-19" "Monti" "S1" 117 2 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"55" "2015-06-24" "2016-01-04" "Woogenellup" "S1" 194 6 "Bud" NA NA NA NA NA NA 2169.74927174 13.055375 10.022 2156.69389674
"56" "2015-06-24" "2016-01-04" "Antas" "S1" 194 7 "Bud" NA NA NA NA NA NA 2169.74927174 13.055375 10.022 2156.69389674
"57" "2015-06-24" "2016-01-04" "Woogenellup" "S1" 194 8 "Bud" 0 0 0 0 0 0 2169.74927174 13.055375 10.022 2156.69389674
"58" "2015-06-24" "2016-01-04" "Denmark" "S1" 194 9 "Bud" NA NA NA NA NA NA 2169.74927174 13.055375 10.022 2156.69389674
"59" "2015-06-24" "2016-01-04" "Monti" "S1" 194 10 "Bud" NA NA NA NA NA NA 2169.74927174 13.055375 10.022 2156.69389674
"60" "2015-06-24" "2016-01-04" "Narrikup" "S1" 194 11 "Bud" NA NA NA NA NA NA 2169.74927174 13.055375 10.022 2156.69389674
"61" "2015-06-24" "2016-01-04" "Leura" "S1" 194 12 "Bud" NA NA NA NA NA NA 2169.74927174 13.055375 10.022 2156.69389674
"62" "2015-06-24" "2016-01-04" "Woogenellup" "S1" 194 13 "Bud" NA NA NA NA NA NA 2169.74927174 13.055375 10.022 2156.69389674
"63" "2015-06-24" "2016-01-04" "Antas" "S1" 194 14 "Bud" NA NA NA NA NA NA 2169.74927174 13.055375 10.022 2156.69389674
"64" "2015-06-24" "2016-01-04" "Monti" "S1" 194 15 "Bud" NA NA NA NA NA NA 2169.74927174 13.055375 10.022 2156.69389674
"65" "2015-06-24" "2016-01-04" "Narrikup" "S1" 194 16 "Bud" NA NA NA NA NA NA 2169.74927174 13.055375 10.022 2156.69389674
"66" "2015-06-24" "2016-01-15" "Denmark" "S1" 205 17 "Bud" NA NA NA NA NA NA 2334.16827174 13.055375 10.022 2321.11289674
"67" "2015-06-24" "2016-01-15" "Woogenellup" "S1" 205 13 "Bud" NA NA NA NA NA NA 2334.16827174 13.055375 10.022 2321.11289674
"68" "2015-06-24" "2016-01-15" "Antas" "S1" 205 14 "Bud" NA NA NA NA NA NA 2334.16827174 13.055375 10.022 2321.11289674
"69" "2015-06-24" "2016-01-15" "Monti" "S1" 205 15 "Bud" NA NA NA NA NA NA 2334.16827174 13.055375 10.022 2321.11289674
"70" "2015-06-24" "2016-01-15" "Narrikup" "S1" 205 16 "Bud" NA NA NA NA NA NA 2334.16827174 13.055375 10.022 2321.11289674
"71" "2015-06-24" "2016-01-15" "Leura" "S1" 205 18 "Bud" 0 0 0 0 0 0 2334.16827174 13.055375 10.022 2321.11289674
"72" "2015-06-24" "2015-11-23" "Antas" "S1" 152 7 "Bud" 0 0 1 0 0 20 1522.88177174 13.055375 10.022 1509.82639674
"73" "2015-06-24" "2015-10-27" "Antas" "S1" 125 7 "Bud" 0 0 0 0 0 0 1210.36877174 13.055375 10.022 1197.31339674
"74" "2015-06-24" "2015-10-27" "Leura" "S1" 125 12 "Bud" 0 0 0 0 0 0 1210.36877174 13.055375 10.022 1197.31339674
"75" "2015-06-24" "2015-10-27" "Woogenellup" "S1" 125 8 "Bud" 1 1 1 1 1 100 1210.36877174 13.055375 10.022 1197.31339674
"76" "2015-06-24" "2015-10-27" "Denmark" "S1" 125 9 "Bud" 0 0 0 0 0 0 1210.36877174 13.055375 10.022 1197.31339674
