Plot	Block	Cultivar	SowTreat	DAS	sample_area_m2	Layer	bur_total_weight_g	bur_no_subSample	bur_weight_subSample_g	seedNo	seed_weight_g	IndividualBurrWeight_g	TotalNumberofBurrs	Percent_Burrsburied 	IndividualSeedWeight_g	Seedsperbur	NumberTotalBurrs	TotalNumberSeeds	Seedsperm2	gseedsperm2	TSW_g
32	3	Antas 	S2	214	0.3	Up	53.79	50	5.9	181	2.142	0.118	455.8474576	41.92136088	0.012	3.620	455.847	1650.168	5500.559	19912.025	11.834
32	3	Antas 	S2	214	0.3	Down	40.8	50	6.2	143	1.895	0.124	329.0322581	*	0.013	2.860	329.032	941.032	3136.774	8971.174	13.252
33	3	Monti	S2	214	0.3	Up	13.08	50	2	123	0.945	0.04	327	49.68585716	0.008	2.460	327.000	804.420	2681.400	6596.244	7.683
33	3	Monti	S2	214	0.3	Down	15.5	50	2.4	122	1.011	0.048	322.9166667	*	0.008	2.440	322.917	787.917	2626.389	6408.389	8.287
34	3	Woogenellup	S2	214	0.3	Up	9.42	50	2.2	187	0.952	0.044	214.0909091	82.96777424	0.005	3.740	214.091	800.700	2669.000	9982.060	5.091
34	3	Woogenellup	S2	214	0.3	Down	54.23	50	2.6	169	1.07	0.052	1042.884615	*	0.006	3.380	1042.885	3524.950	11749.833	39714.437	6.331
35	3	Leura	S2	214	0.3	Up	38.08	50	3.7	112	1.502	0.074	514.5945946	67.8334105	0.013	2.240	514.595	1152.692	3842.306	8606.766	13.411
35	3	Leura	S2	214	0.3	Down	117.2	50	5.4	162	1.48	0.108	1085.185185	*	0.009	3.240	1085.185	3516.000	11720.000	37972.800	9.136
36	3	Narrikup	S2	214	0.3	Up	16.32	50	3	135	1.088	0.06	272	58.34797099	0.008	2.700	272.000	734.400	2448.000	6609.600	8.059
36	3	Narrikup	S2	214	0.3	Down	25.91	50	3.4	138	1.187	0.068	381.0294118	*	0.009	2.760	381.029	1051.641	3505.471	9675.099	8.601
37	1	Denmark	S3	191	0.2	Up	77.431	50	2.531	162	1.132	0.05062	1529.652311	17.19449764	0.007	3.240	1529.652	4956.073	24780.367	80288.391	6.988
37	1	Denmark	S3	191	0.2	Down	35.13	50	5.53	203	1.656	0.1106	317.6311031	*	0.008	4.060	317.631	1289.582	6447.911	26178.520	8.158
38	1	Antas 	S3	182	0.2	Up	136.402	50	4.202	200	1.355	0.08404	1623.060447	20.95430992	0.007	4.000	1623.060	6492.242	32461.209	129844.836	6.775
38	1	Antas 	S3	182	0.2	Down	42.544	50	4.944	147	1.375	0.09888	430.2588997	*	0.009	2.940	430.259	1264.961	6324.806	18594.929	9.354
39	1	Woogenellup	S3	182	0.2	Up	43.886	50	2.586	216	1.296	0.05172	848.5305491	61.65955392	0.006	4.320	848.531	3665.652	18328.260	79178.083	6.000
39	1	Woogenellup	S3	182	0.2	Down	91.866	50	3.366	237	1.589	0.06732	1364.616756	*	0.007	4.740	1364.617	6468.283	32341.417	153298.317	6.705
40	1	Leura	S3	191	0.2	Up	41.31	50	3.01	185	1.438	0.0602	686.2126246	64.25227826	0.008	3.700	686.213	2538.987	12694.934	46971.254	7.773
40	1	Leura	S3	191	0.2	Down	78.69	50	3.19	163	1.444	0.0638	1233.38558	*	0.009	3.260	1233.386	4020.837	20104.185	65539.643	8.859
41	1	Narrikup	S3	174	0.2	Up	60.1	50	3.7	151	1.506	0.074	812.1621622	52.39132587	0.010	3.020	812.162	2452.730	12263.649	37036.219	9.974
41	1	Narrikup	S3	174	0.2	Down	71.5	50	4	158	1.493	0.08	893.75	*	0.009	3.160	893.750	2824.250	14121.250	44623.150	9.449
42	1	Monti	S3	174	0.2	Up	82.3	50	3.2	140	1.412	0.064	1285.9375	33.70075646	0.010	2.800	1285.938	3600.625	18003.125	50408.750	10.086
42	1	Monti	S3	174	0.2	Down	53.6	50	4.1	133	1.553	0.082	653.6585366	*	0.012	2.660	653.659	1738.732	8693.659	23125.132	11.677
43	2	Woogenellup	S3	182	0.2	Up	78.371	50	2.371	213	1.133	0.04742	1652.699283	25.91027127	0.005	4.260	1652.699	7040.499	35202.495	149962.628	5.319
43	2	Woogenellup	S3	182	0.2	Down	31.199	50	2.699	222	1.34	0.05398	577.9733235	*	0.006	4.440	577.973	2566.202	12831.008	56969.675	6.036
44	2	Leura	S3	191	0.2	Up	12.32	50	3.32	191	1.236	0.0664	185.5421687	88.65561694	0.006	3.820	185.542	708.771	3543.855	13537.528	6.471
44	2	Leura	S3	191	0.2	Down	87	50	3	177	1.5	0.06	1450	*	0.008	3.540	1450.000	5133.000	25665.000	90854.100	8.475
45	2	Narrikup	S3	174	0.2	Up	49.1	50	3.4	176	1.43	0.068	722.0588235	60.86469486	0.008	3.520	722.059	2541.647	12708.235	44732.988	8.125
45	2	Narrikup	S3	174	0.2	Down	83.1	50	3.7	164	1.567	0.074	1122.972973	*	0.010	3.280	1122.973	3683.351	18416.757	60406.962	9.555
46	2	Antas 	S3	182	0.2	Up	113.066	50	5.583	152	1.725	0.11166	1012.591797	51.07918945	0.011	3.040	1012.592	3078.279	15391.395	46789.842	11.349
46	2	Antas 	S3	182	0.2	Down	125.117	50	5.917	138	1.599	0.11834	1057.267196	*	0.012	2.760	1057.267	2918.057	14590.287	40269.193	11.587
47	2	Denmark	S3	191	0.2	Up	87.51	50	3.31	191	1.565	0.0662	1321.903323	24.07004177	0.008	3.820	1321.903	5049.671	25248.353	96448.710	8.194
47	2	Denmark	S3	191	0.2	Down	35.2	50	4.2	169	1.623	0.084	419.047619	*	0.010	3.380	419.048	1416.381	7081.905	23936.838	9.604
48	2	Monti	S3	174	0.2	Up	75.1	50	3	117	1.233	0.06	1251.666667	28.19430517	0.011	2.340	1251.667	2928.900	14644.500	34268.130	10.538
48	2	Monti	S3	174	0.2	Down	40.3	50	4.1	142	1.382	0.082	491.4634146	*	0.010	2.840	491.463	1395.756	6978.780	19819.737	9.732
49	3	Leura	S3	191	0.2	Up	11.06	50	4.26	200	1.446	0.0852	129.8122066	88.53630145	0.007	4.000	129.812	519.249	2596.244	10384.977	7.230
49	3	Leura	S3	191	0.2	Down	78.2	50	3.9	189	1.577	0.078	1002.564103	*	0.008	3.780	1002.564	3789.692	18948.462	71625.185	8.344
50	3	Woogenellup	S3	182	0.2	Up	36.45	50	2.45	196	1.116	0.049	743.877551	57.39312751	0.006	3.920	743.878	2916.000	14580.000	57153.600	5.694
50	3	Woogenellup	S3	182	0.2	Down	54.731	50	2.731	228	1.298	0.05462	1002.032223	*	0.006	4.560	1002.032	4569.267	22846.335	104179.286	5.693
