date	hour	Air
19/07/2015	11	6.94
19/07/2015	12	7.845
19/07/2015	13	8.866
19/07/2015	14	9.188
19/07/2015	15	9.04
19/07/2015	16	8.792
19/07/2015	17	7.192
19/07/2015	18	6.153
19/07/2015	19	6.636
19/07/2015	20	6.408
19/07/2015	21	6.153
19/07/2015	22	3.538
19/07/2015	23	3.221
20/07/2015	0	3.485
20/07/2015	1	2.209
20/07/2015	2	1.832
20/07/2015	3	1.859
20/07/2015	4	0.632
20/07/2015	5	-0.171
20/07/2015	6	-0.479
20/07/2015	7	0.825
20/07/2015	8	1.507
20/07/2015	9	3.38
20/07/2015	10	4.402
20/07/2015	11	6.128
20/07/2015	12	8.12
20/07/2015	13	8.444
20/07/2015	14	7.895
20/07/2015	15	9.064
20/07/2015	16	7.444
20/07/2015	17	7.268
20/07/2015	18	6.94
20/07/2015	19	5.949
20/07/2015	20	6.179
20/07/2015	21	5.565
20/07/2015	22	5.257
20/07/2015	23	5.024
21/07/2015	0	3.485
21/07/2015	1	1.18
21/07/2015	2	3.406
21/07/2015	3	1.153
21/07/2015	4	0.989
21/07/2015	5	3.142
21/07/2015	6	-0.873
21/07/2015	7	-0.311
21/07/2015	8	0.246
21/07/2015	9	1.994
21/07/2015	10	5.745
21/07/2015	11	8.12
21/07/2015	12	8.543
21/07/2015	13	9.46
21/07/2015	14	11.394
21/07/2015	15	10.443
21/07/2015	16	12.509
21/07/2015	17	9.336
21/07/2015	18	7.142
21/07/2015	19	8.841
21/07/2015	20	5.462
21/07/2015	21	4.35
21/07/2015	22	4.921
21/07/2015	23	5.257
22/07/2015	0	4.532
22/07/2015	1	2.85
22/07/2015	2	3.617
22/07/2015	3	3.485
22/07/2015	4	1.967
22/07/2015	5	1.643
22/07/2015	6	3.248
22/07/2015	7	2.797
22/07/2015	8	2.182
22/07/2015	9	1.94
22/07/2015	10	5.231
22/07/2015	11	8.469
22/07/2015	12	11.54
22/07/2015	13	12.364
22/07/2015	14	13.546
22/07/2015	15	11.443
22/07/2015	16	14.146
22/07/2015	17	9.903
22/07/2015	18	5.693
22/07/2015	19	6.914
22/07/2015	20	6.889
22/07/2015	21	6.94
22/07/2015	22	6.433
22/07/2015	23	6.102
23/07/2015	0	7.469
23/07/2015	1	7.745
23/07/2015	2	8.394
23/07/2015	3	8.866
23/07/2015	4	9.139
23/07/2015	5	8.916
23/07/2015	6	8.941
23/07/2015	7	8.693
23/07/2015	8	8.519
23/07/2015	9	9.46
23/07/2015	10	10.443
23/07/2015	11	11.224
23/07/2015	12	11.443
23/07/2015	13	12.001
23/07/2015	14	12.122
23/07/2015	15	12.147
23/07/2015	16	11.37
23/07/2015	17	9.46
23/07/2015	18	7.995
23/07/2015	19	7.419
