StartDate	HardSeedAssessDate	Plot	Block	Cultivar	SowTreat	SowingD	depth 	round	Imbibed	GermAssessDate 	embGerminated	Dead	SeedNumber
NA	NA	23	1	Denmark	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	23	1	Denmark	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	23	1	Denmark	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	24	1	Antas 	S2	28/07/2015	up	1	11	NA	NA	NA	50
NA	NA	24	1	Antas 	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	24	1	Antas 	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	24	1	Antas 	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	24	1	Antas 	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	25	2	Leura	S2	28/07/2015	up	1	43	NA	NA	NA	50
NA	NA	25	2	Leura	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	25	2	Leura	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	25	2	Leura	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	25	2	Leura	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	26	2	Woogenellup	S2	28/07/2015	up	1	3	NA	NA	NA	50
NA	NA	26	2	Woogenellup	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	26	2	Woogenellup	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	26	2	Woogenellup	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	26	2	Woogenellup	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	27	2	Denmark	S2	28/07/2015	up	1	3	NA	NA	NA	50
NA	NA	27	2	Denmark	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	27	2	Denmark	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	27	2	Denmark	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	27	2	Denmark	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	28	2	Narrikup	S2	28/07/2015	up	1	19	NA	NA	NA	50
NA	NA	28	2	Narrikup	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	28	2	Narrikup	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	28	2	Narrikup	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	28	2	Narrikup	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	29	2	Antas 	S2	28/07/2015	up	1	43	NA	NA	NA	50
NA	NA	29	2	Antas 	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	29	2	Antas 	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	29	2	Antas 	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	29	2	Antas 	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	30	2	Monti	S2	28/07/2015	up	1	5	NA	NA	NA	50
NA	NA	30	2	Monti	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	30	2	Monti	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	30	2	Monti	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	30	2	Monti	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	31	3	Denmark	S2	28/07/2015	up	1	6	NA	NA	NA	50
NA	NA	31	3	Denmark	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	31	3	Denmark	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	31	3	Denmark	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	31	3	Denmark	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	32	3	Antas 	S2	28/07/2015	up	1	13	NA	NA	NA	50
NA	NA	32	3	Antas 	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	32	3	Antas 	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	32	3	Antas 	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	32	3	Antas 	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	33	3	Monti	S2	28/07/2015	up	1	18	NA	NA	NA	50
NA	NA	33	3	Monti	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	33	3	Monti	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	33	3	Monti	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	33	3	Monti	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
