Temp	Cv	rep	startDate 	DateRead	CountedGerm 	HoursofTest	PercentGerm
20	Monti	4	16/07/15	17/07/15	0	24.00	0
20	Narrikup	1	16/07/15	17/07/15	1	24.00	2
20	Narrikup	2	16/07/15	17/07/15	0	24.00	0
20	Narrikup	3	16/07/15	17/07/15	0	24.00	0
20	Narrikup	4	16/07/15	17/07/15	1	24.00	2
20	Antas	1	16/07/15	18/07/15	43	48.00	86
20	Antas	2	16/07/15	18/07/15	40	48.00	80
20	Antas	3	16/07/15	18/07/15	44	48.00	88
20	Antas	4	16/07/15	18/07/15	48	48.00	96
20	Denmark	1	16/07/15	18/07/15	35	48.00	70
20	Denmark	2	16/07/15	18/07/15	34	48.00	68
20	Denmark	3	16/07/15	18/07/15	29	48.00	58
20	Denmark	4	16/07/15	18/07/15	30	48.00	60
20	Monti	1	16/07/15	18/07/15	9	48.00	18
20	Monti	2	16/07/15	18/07/15	5	48.00	10
20	Monti	3	16/07/15	18/07/15	6	48.00	12
20	Monti	4	16/07/15	18/07/15	5	48.00	10
20	Narrikup	1	16/07/15	18/07/15	14	48.00	28
20	Narrikup	2	16/07/15	18/07/15	12	48.00	24
20	Narrikup	3	16/07/15	18/07/15	23	48.00	46
20	Narrikup	4	16/07/15	18/07/15	14	48.00	28
20	Antas	1	15/07/15	19/07/15	3	96.00	6
20	Antas	2	15/07/15	19/07/15	3	96.00	6
20	Antas	3	15/07/15	19/07/15	3	96.00	6
20	Antas	4	15/07/15	19/07/15	2	96.00	4
20	Denmark	1	15/07/15	19/07/15	6	96.00	12
20	Denmark	2	15/07/15	19/07/15	10	96.00	20
20	Denmark	3	15/07/15	19/07/15	13	96.00	26
20	Denmark	4	15/07/15	19/07/15	14	96.00	28
20	Monti	1	15/07/15	19/07/15	17	96.00	34
20	Monti	2	15/07/15	19/07/15	14	96.00	28
20	Monti	3	15/07/15	19/07/15	17	96.00	34
20	Monti	4	15/07/15	19/07/15	18	96.00	36
20	Narrikup	1	15/07/15	19/07/15	13	96.00	26
20	Narrikup	2	15/07/15	19/07/15	23	96.00	46
20	Narrikup	3	15/07/15	19/07/15	26	96.00	52
20	Narrikup	4	15/07/15	19/07/15	25	96.00	50
20	Antas	1	15/07/15	20/07/15	0	120.00	0
20	Antas	2	15/07/15	20/07/15	0	120.00	0
20	Antas	3	15/07/15	20/07/15	0	120.00	0
20	Antas	4	15/07/15	20/07/15	0	120.00	0
20	Denmark	1	15/07/15	20/07/15	9	120.00	18
20	Denmark	2	15/07/15	20/07/15	3	120.00	6
20	Denmark	3	15/07/15	20/07/15	8	120.00	16
20	Denmark	4	15/07/15	20/07/15	2	120.00	4
20	Monti	1	15/07/15	20/07/15	3	120.00	6
20	Monti	2	15/07/15	20/07/15	6	120.00	12
20	Monti	3	15/07/15	20/07/15	9	120.00	18
20	Monti	4	15/07/15	20/07/15	10	120.00	20
20	Narrikup	1	15/07/15	20/07/15	15	120.00	30
20	Narrikup	2	15/07/15	20/07/15	9	120.00	18
20	Narrikup	3	15/07/15	20/07/15	1	120.00	2
20	Narrikup	4	15/07/15	20/07/15	3	120.00	6
20	Antas	1	15/07/15	21/07/15	0	144.00	0
20	Antas	2	15/07/15	21/07/15	0	144.00	0
20	Antas	3	15/07/15	21/07/15	0	144.00	0
20	Antas	4	15/07/15	21/07/15	0	144.00	0
20	Denmark	1	15/07/15	21/07/15	0	144.00	0
20	Denmark	2	15/07/15	21/07/15	0	144.00	0
20	Denmark	3	15/07/15	21/07/15	0	144.00	0
20	Denmark	4	15/07/15	21/07/15	3	144.00	6
20	Monti	1	15/07/15	21/07/15	5	144.00	10
20	Monti	2	15/07/15	21/07/15	4	144.00	8
20	Monti	3	15/07/15	21/07/15	2	144.00	4
20	Monti	4	15/07/15	21/07/15	2	144.00	4
20	Narrikup	1	15/07/15	21/07/15	2	144.00	4
20	Narrikup	2	15/07/15	21/07/15	0	144.00	0
20	Narrikup	3	15/07/15	21/07/15	0	144.00	0
20	Narrikup	4	15/07/15	21/07/15	0	144.00	0
20	Antas	1	15/07/15	22/07/15	0	168.00	0
20	Antas	2	15/07/15	22/07/15	0	168.00	0
20	Antas	3	15/07/15	22/07/15	0	168.00	0
20	Antas	4	15/07/15	22/07/15	0	168.00	0
20	Denmark	1	15/07/15	22/07/15	0	168.00	0
20	Denmark	2	15/07/15	22/07/15	0	168.00	0
20	Denmark	3	15/07/15	22/07/15	0	168.00	0
20	Denmark	4	15/07/15	22/07/15	1	168.00	2
20	Monti	1	15/07/15	22/07/15	1	168.00	2
20	Monti	2	15/07/15	22/07/15	0	168.00	0
20	Monti	3	15/07/15	22/07/15	2	168.00	4
20	Monti	4	15/07/15	22/07/15	0	168.00	0
20	Narrikup	1	15/07/15	22/07/15	2	168.00	4
20	Narrikup	2	15/07/15	22/07/15	2	168.00	4
20	Narrikup	3	15/07/15	22/07/15	0	168.00	0
20	Narrikup	4	15/07/15	22/07/15	0	168.00	0
20	Antas	1	15/07/15	23/07/15	0	192.00	0
20	Antas	2	15/07/15	23/07/15	0	192.00	0
20	Antas	3	15/07/15	23/07/15	0	192.00	0
20	Antas	4	15/07/15	23/07/15	0	192.00	0
20	Denmark	1	15/07/15	23/07/15	0	192.00	0
20	Denmark	2	15/07/15	23/07/15	0	192.00	0
20	Denmark	3	15/07/15	23/07/15	0	192.00	0
20	Denmark	4	15/07/15	23/07/15	0	192.00	0
20	Monti	1	15/07/15	23/07/15	4	192.00	8
20	Monti	2	15/07/15	23/07/15	5	192.00	10
20	Monti	3	15/07/15	23/07/15	0	192.00	0
20	Monti	4	15/07/15	23/07/15	0	192.00	0
20	Narrikup	1	15/07/15	23/07/15	0	192.00	0
20	Narrikup	2	15/07/15	23/07/15	0	192.00	0
20	Narrikup	3	15/07/15	23/07/15	0	192.00	0
20	Narrikup	4	15/07/15	23/07/15	0	192.00	0
20	Antas	1	15/07/15	24/07/15	0	216.00	0
20	Antas	2	15/07/15	24/07/15	0	216.00	0
20	Antas	3	15/07/15	24/07/15	0	216.00	0
20	Antas	4	15/07/15	24/07/15	0	216.00	0
20	Denmark	1	15/07/15	24/07/15	0	216.00	0
20	Denmark	2	15/07/15	24/07/15	0	216.00	0
20	Denmark	3	15/07/15	24/07/15	0	216.00	0
20	Denmark	4	15/07/15	24/07/15	0	216.00	0
20	Monti	1	15/07/15	24/07/15	1	216.00	2
20	Monti	2	15/07/15	24/07/15	2	216.00	4
20	Monti	3	15/07/15	24/07/15	1	216.00	2
20	Monti	4	15/07/15	24/07/15	0	216.00	0
20	Narrikup	1	15/07/15	24/07/15	0	216.00	0
20	Narrikup	2	15/07/15	24/07/15	0	216.00	0
20	Narrikup	3	15/07/15	24/07/15	0	216.00	0
20	Narrikup	4	15/07/15	24/07/15	0	216.00	0
20	Antas	1	15/07/15	25/07/15	0	240.00	0
20	Antas	2	15/07/15	25/07/15	0	240.00	0
20	Antas	3	15/07/15	25/07/15	0	240.00	0
20	Antas	4	15/07/15	25/07/15	0	240.00	0
20	Denmark	1	15/07/15	25/07/15	0	240.00	0
20	Denmark	2	15/07/15	25/07/15	0	240.00	0
20	Denmark	3	15/07/15	25/07/15	0	240.00	0
20	Denmark	4	15/07/15	25/07/15	0	240.00	0
20	Monti	1	15/07/15	25/07/15	0	240.00	0
20	Monti	2	15/07/15	25/07/15	1	240.00	2
20	Monti	3	15/07/15	25/07/15	0	240.00	0
20	Monti	4	15/07/15	25/07/15	0	240.00	0
20	Narrikup	1	15/07/15	25/07/15	0	240.00	0
20	Narrikup	2	15/07/15	25/07/15	0	240.00	0
20	Narrikup	3	15/07/15	25/07/15	0	240.00	0
20	Narrikup	4	15/07/15	25/07/15	0	240.00	0
30	Antas	1	17/07/15	18/07/15	0	24.00	0
30	Antas	2	17/07/15	18/07/15	0	24.00	0
30	Antas	3	17/07/15	18/07/15	0	24.00	0
30	Antas	4	17/07/15	18/07/15	0	24.00	0
30	Denmark	1	17/07/15	18/07/15	0	24.00	0
30	Denmark	2	17/07/15	18/07/15	0	24.00	0
30	Denmark	3	17/07/15	18/07/15	1	24.00	2
30	Denmark	4	17/07/15	18/07/15	1	24.00	2
30	Monti	1	17/07/15	18/07/15	0	24.00	0
30	Monti	2	17/07/15	18/07/15	0	24.00	0
30	Monti	3	17/07/15	18/07/15	0	24.00	0
30	Monti	4	17/07/15	18/07/15	0	24.00	0
30	Narrikup	1	17/07/15	18/07/15	0	24.00	0
30	Narrikup	2	17/07/15	18/07/15	0	24.00	0
30	Narrikup	3	17/07/15	18/07/15	0	24.00	0
30	Narrikup	4	17/07/15	18/07/15	0	24.00	0
30	Antas	1	17/07/15	19/07/15	1	61.00	2
30	Antas	2	17/07/15	19/07/15	2	61.00	4
30	Antas	3	17/07/15	19/07/15	4	61.00	8
30	Antas	4	17/07/15	19/07/15	1	61.00	2
30	Denmark	1	17/07/15	19/07/15	0	61.00	0
30	Denmark	2	17/07/15	19/07/15	0	61.00	0
30	Denmark	3	17/07/15	19/07/15	1	61.00	2
30	Denmark	4	17/07/15	19/07/15	1	61.00	2
30	Monti	1	17/07/15	19/07/15	0	61.00	0
30	Monti	2	17/07/15	19/07/15	0	61.00	0
30	Monti	3	17/07/15	19/07/15	1	61.00	2
30	Monti	4	17/07/15	19/07/15	0	61.00	0
