"date" "hour" "Air"
"282" 2015-07-12 10 1.588
"283" 2015-07-12 11 2.877
"284" 2015-07-12 12 4.037
"285" 2015-07-12 13 6.788
"286" 2015-07-12 14 7.318
"287" 2015-07-12 15 7.995
"288" 2015-07-12 16 7.87
"289" 2015-07-12 17 6.281
"290" 2015-07-12 18 1.615
"291" 2015-07-12 19 0.715
"292" 2015-07-12 20 -0.004
"293" 2015-07-12 21 -1.27
"294" 2015-07-12 22 -1.128
"295" 2015-07-12 23 -1.27
"296" 2015-07-13 0 -0.817
"297" 2015-07-13 1 -1.242
"298" 2015-07-13 2 -1.958
"299" 2015-07-13 3 -2.8
"300" 2015-07-13 4 -3.124
"301" 2015-07-13 5 -3.094
"302" 2015-07-13 6 -0.93
"303" 2015-07-13 7 0.163
"304" 2015-07-13 8 0.384
"305" 2015-07-13 9 1.967
"306" 2015-07-13 10 5.102
"307" 2015-07-13 11 8.469
"308" 2015-07-13 12 9.114
"309" 2015-07-13 13 9.485
"310" 2015-07-13 14 9.756
"311" 2015-07-13 15 9.312
"312" 2015-07-13 16 8.965
"313" 2015-07-13 17 7.645
"314" 2015-07-13 18 7.619
"315" 2015-07-13 19 7.895
"316" 2015-07-13 20 7.82
"317" 2015-07-13 21 7.97
"318" 2015-07-13 22 7.945
"319" 2015-07-13 23 7.695
"320" 2015-07-14 0 6.712
"321" 2015-07-14 1 4.74
"322" 2015-07-14 2 5.642
"323" 2015-07-14 3 5.514
"324" 2015-07-14 4 4.921
"325" 2015-07-14 5 5.205
"326" 2015-07-14 6 5.847
"327" 2015-07-14 7 5.949
"328" 2015-07-14 8 6.712
"329" 2015-07-14 9 8.295
"330" 2015-07-14 10 9.657
"331" 2015-07-14 11 10.687
"332" 2015-07-14 12 10.492
"333" 2015-07-14 13 10.565
"334" 2015-07-14 14 11.029
"335" 2015-07-14 15 11.151
"336" 2015-07-14 16 10.858
"337" 2015-07-14 17 10.001
"338" 2015-07-14 18 10.296
"339" 2015-07-14 19 10.026
"340" 2015-07-14 20 10.369
"341" 2015-07-14 21 10.271
"342" 2015-07-14 22 11.662
"343" 2015-07-14 23 11.856
"344" 2015-07-15 0 12.05
"345" 2015-07-15 1 11.783
"346" 2015-07-15 2 11.71
"347" 2015-07-15 3 10.907
"348" 2015-07-15 4 11.321
"349" 2015-07-15 5 12.122
"350" 2015-07-15 6 11.904
"351" 2015-07-15 7 12.05
"352" 2015-07-15 8 12.195
"353" 2015-07-15 9 12.413
"354" 2015-07-15 10 12.582
"355" 2015-07-15 11 12.534
"356" 2015-07-15 12 12.122
"357" 2015-07-15 13 12.025
"358" 2015-07-15 14 13.497
"359" 2015-07-15 15 12.847
"360" 2015-07-15 16 12.461
"361" 2015-07-15 17 13.161
"362" 2015-07-15 18 13.666
"363" 2015-07-15 19 13.064
"364" 2015-07-15 20 13.112
"365" 2015-07-15 21 12.243
"366" 2015-07-15 22 12.316
"367" 2015-07-15 23 11.929
"368" 2015-07-16 0 8.891
"369" 2015-07-16 1 7.845
"370" 2015-07-16 2 8.07
"371" 2015-07-16 3 6.433
"372" 2015-07-16 4 5.36
"373" 2015-07-16 5 6.026
"374" 2015-07-16 6 6.611
"375" 2015-07-16 7 6.331
"376" 2015-07-16 8 8.045
"377" 2015-07-16 9 9.509
"378" 2015-07-16 10 9.756
"379" 2015-07-16 11 10.296
"380" 2015-07-16 12 9.805
"381" 2015-07-16 13 9.336
"382" 2015-07-16 14 9.139
"383" 2015-07-16 15 9.238
"384" 2015-07-16 16 8.866
"385" 2015-07-16 17 8.045
"386" 2015-07-16 18 7.544
"387" 2015-07-16 19 7.242
"388" 2015-07-16 20 6.889
"389" 2015-07-16 21 6.839
"390" 2015-07-16 22 6.585
"391" 2015-07-16 23 6.026
"392" 2015-07-17 0 5.334
"393" 2015-07-17 1 5.205
"394" 2015-07-17 2 4.999
"395" 2015-07-17 3 3.301
"396" 2015-07-17 4 2.316
"397" 2015-07-17 5 3.564
"398" 2015-07-17 6 4.584
"399" 2015-07-17 7 4.895
"400" 2015-07-17 8 5.179
"401" 2015-07-17 9 5.539
"402" 2015-07-17 10 6.23
"403" 2015-07-17 11 7.494
"404" 2015-07-17 12 8.27
"405" 2015-07-17 13 8.891
"406" 2015-07-17 14 9.706
"407" 2015-07-17 15 9.089
"408" 2015-07-17 16 8.095
"409" 2015-07-17 17 7.343
"410" 2015-07-17 18 6.864
"411" 2015-07-17 19 6.94
"412" 2015-07-17 20 7.368
"413" 2015-07-17 21 7.97
"414" 2015-07-17 22 7.67
"415" 2015-07-17 23 7.393
"416" 2015-07-18 0 6.763
"417" 2015-07-18 1 5.872
"418" 2015-07-18 2 3.617
"419" 2015-07-18 3 3.643
"420" 2015-07-18 4 3.433
"421" 2015-07-18 5 3.854
"422" 2015-07-18 6 3.932
"423" 2015-07-18 7 4.298
"424" 2015-07-18 8 5.924
"425" 2015-07-18 9 5.745
"426" 2015-07-18 10 5.462
"427" 2015-07-18 11 5.437
"428" 2015-07-18 12 6.306
"429" 2015-07-18 13 7.167
"430" 2015-07-18 14 5.668
"431" 2015-07-18 15 5.949
"432" 2015-07-18 16 6.306
"433" 2015-07-18 17 5.565
"434" 2015-07-18 18 4.688
"435" 2015-07-18 19 4.35
"436" 2015-07-18 20 4.428
"437" 2015-07-18 21 3.749
"438" 2015-07-18 22 5.024
"439" 2015-07-18 23 4.558
"440" 2015-07-19 0 4.324
"441" 2015-07-19 1 4.037
"442" 2015-07-19 2 3.406
"443" 2015-07-19 3 2.664
"444" 2015-07-19 4 1.832
"445" 2015-07-19 5 1.615
"446" 2015-07-19 6 1.071
"447" 2015-07-19 7 1.534
"448" 2015-07-19 8 2.823
"449" 2015-07-19 9 4.194
"450" 2015-07-19 10 4.688
"451" 2015-07-19 11 6.94
"452" 2015-07-19 12 7.845
"453" 2015-07-19 13 8.866
"454" 2015-07-19 14 9.188
"455" 2015-07-19 15 9.04
"456" 2015-07-19 16 8.792
"457" 2015-07-19 17 7.192
"458" 2015-07-19 18 6.153
"459" 2015-07-19 19 6.636
"460" 2015-07-19 20 6.408
"461" 2015-07-19 21 6.153
"462" 2015-07-19 22 3.538
"463" 2015-07-19 23 3.221
"464" 2015-07-20 0 3.485
"465" 2015-07-20 1 2.209
"466" 2015-07-20 2 1.832
"467" 2015-07-20 3 1.859
"468" 2015-07-20 4 0.632
"469" 2015-07-20 5 -0.171
"470" 2015-07-20 6 -0.479
"471" 2015-07-20 7 0.825
"472" 2015-07-20 8 1.507
"473" 2015-07-20 9 3.38
"474" 2015-07-20 10 4.402
"475" 2015-07-20 11 6.128
"476" 2015-07-20 12 8.12
"477" 2015-07-20 13 8.444
"478" 2015-07-20 14 7.895
"479" 2015-07-20 15 9.064
"480" 2015-07-20 16 7.444
"481" 2015-07-20 17 7.268
"482" 2015-07-20 18 6.94
"483" 2015-07-20 19 5.949
"484" 2015-07-20 20 6.179
"485" 2015-07-20 21 5.565
"486" 2015-07-20 22 5.257
"487" 2015-07-20 23 5.024
"488" 2015-07-21 0 3.485
"489" 2015-07-21 1 1.18
"490" 2015-07-21 2 3.406
"491" 2015-07-21 3 1.153
"492" 2015-07-21 4 0.989
"493" 2015-07-21 5 3.142
"494" 2015-07-21 6 -0.873
"495" 2015-07-21 7 -0.311
"496" 2015-07-21 8 0.246
"497" 2015-07-21 9 1.994
"498" 2015-07-21 10 5.745
"499" 2015-07-21 11 8.12
"500" 2015-07-21 12 8.543
"501" 2015-07-21 13 9.46
"502" 2015-07-21 14 11.394
"503" 2015-07-21 15 10.443
"504" 2015-07-21 16 12.509
"505" 2015-07-21 17 9.336
"506" 2015-07-21 18 7.142
"507" 2015-07-21 19 8.841
"508" 2015-07-21 20 5.462
"509" 2015-07-21 21 4.35
"510" 2015-07-21 22 4.921
"511" 2015-07-21 23 5.257
"512" 2015-07-22 0 4.532
"513" 2015-07-22 1 2.85
"514" 2015-07-22 2 3.617
"515" 2015-07-22 3 3.485
"516" 2015-07-22 4 1.967
"517" 2015-07-22 5 1.643
"518" 2015-07-22 6 3.248
"519" 2015-07-22 7 2.797
"520" 2015-07-22 8 2.182
"521" 2015-07-22 9 1.94
"522" 2015-07-22 10 5.231
"523" 2015-07-22 11 8.469
"524" 2015-07-22 12 11.54
"525" 2015-07-22 13 12.364
"526" 2015-07-22 14 13.546
"527" 2015-07-22 15 11.443
"528" 2015-07-22 16 14.146
"529" 2015-07-22 17 9.903
"530" 2015-07-22 18 5.693
"531" 2015-07-22 19 6.914
"532" 2015-07-22 20 6.889
"533" 2015-07-22 21 6.94
"534" 2015-07-22 22 6.433
"535" 2015-07-22 23 6.102
"536" 2015-07-23 0 7.469
"537" 2015-07-23 1 7.745
"538" 2015-07-23 2 8.394
"539" 2015-07-23 3 8.866
"540" 2015-07-23 4 9.139
"541" 2015-07-23 5 8.916
"542" 2015-07-23 6 8.941
"543" 2015-07-23 7 8.693
"544" 2015-07-23 8 8.519
"545" 2015-07-23 9 9.46
"546" 2015-07-23 10 10.443
"547" 2015-07-23 11 11.224
"548" 2015-07-23 12 11.443
"549" 2015-07-23 13 12.001
"550" 2015-07-23 14 12.122
"551" 2015-07-23 15 12.147
"552" 2015-07-23 16 11.37
"553" 2015-07-23 17 9.46
"554" 2015-07-23 18 7.995
"555" 2015-07-23 19 7.419
"556" 2015-07-23 20 7.041
"557" 2015-07-23 21 6.458
"558" 2015-07-23 22 6.281
"559" 2015-07-23 23 4.714
"560" 2015-07-24 0 3.248
"561" 2015-07-24 1 3.406
"562" 2015-07-24 2 4.324
"563" 2015-07-24 3 4.194
"564" 2015-07-24 4 5.616
"565" 2015-07-24 5 5.821
"566" 2015-07-24 6 5.128
"567" 2015-07-24 7 3.643
"568" 2015-07-24 8 3.195
"569" 2015-07-24 9 4.688
"570" 2015-07-24 10 7.544
"571" 2015-07-24 11 11.248
"572" 2015-07-24 12 13.546
"573" 2015-07-24 13 13.209
"574" 2015-07-24 14 12.896
"575" 2015-07-24 15 12.195
"576" 2015-07-24 16 11.419
"577" 2015-07-24 17 10.075
"578" 2015-07-24 18 8.618
"579" 2015-07-24 19 8.095
"580" 2015-07-24 20 7.82
"581" 2015-07-24 21 7.645
"582" 2015-07-24 22 8.195
"583" 2015-07-24 23 8.543
"584" 2015-07-25 0 8.792
"585" 2015-07-25 1 9.163
"586" 2015-07-25 2 9.064
"587" 2015-07-25 3 9.139
"588" 2015-07-25 4 9.114
"589" 2015-07-25 5 9.287
"590" 2015-07-25 6 9.238
"591" 2015-07-25 7 8.941
"592" 2015-07-25 8 8.668
"593" 2015-07-25 9 9.287
"594" 2015-07-25 10 10.124
"595" 2015-07-25 11 10.736
"596" 2015-07-25 12 10.98
"597" 2015-07-25 13 11.127
