"Cultivar" "SowTreat" "DAS" "av_Perc" "av_TT" "av_DAS"
"421" "Woogenellup" "S1" 19 0 227.00839674 19
"422" "Woogenellup" "S1" 27 0 281.04789674 27
"423" "Woogenellup" "S1" 30 8.93 305.01039674 30
"424" "Woogenellup" "S1" 34 8.93 349.11039674 34
"425" "Woogenellup" "S1" 43 27.68 424.14889674 43
"426" "Woogenellup" "S1" 47 40.7733333333333 440.40839674 47
"427" "Woogenellup" "S1" 51 52.38 468.80989674 51
"428" "Woogenellup" "S1" 58 54.4633333333333 526.81689674 58
"429" "Woogenellup" "S1" 65 63.3933333333333 570.37439674 65
"430" "Woogenellup" "S1" 68 100 591.06089674 68
"431" "Woogenellup" "S1" 72 100 623.54339674 72
"432" "Woogenellup" "S1" 75 100 644.64889674 75
"433" "Woogenellup" "S2" 0 0 0 0
"434" "Woogenellup" "S2" 2 0 11.1 2
"435" "Woogenellup" "S2" 4 0 27.0085 4
"436" "Woogenellup" "S2" 6 1.12 51.809 6
"437" "Woogenellup" "S2" 10 30.7166666666667 80.384 10
"438" "Woogenellup" "S2" 13 49.6466666666667 91.298 13
"439" "Woogenellup" "S2" 18 70.5333333333333 130.577 18
"440" "Woogenellup" "S2" 23 72.7266666666667 172.4935 23
"441" "Woogenellup" "S2" 29 92.7633333333333 211.7515 29
"442" "Woogenellup" "S2" 36 78.48 259.9605 36
"443" "Woogenellup" "S2" 43 87.72 306.381 43
"444" "Woogenellup" "S2" 47 87.72 340.564 47
"445" "Woogenellup" "S3" 0 0 0 0
"446" "Woogenellup" "S3" 2 0 30.129 2
"447" "Woogenellup" "S3" 4 11.1633333333333 49.5445000000001 4
"448" "Woogenellup" "S3" 6 40.47 61.9235 6
"449" "Woogenellup" "S3" 9 61.12 85.7140000000001 9
"450" "Woogenellup" "S3" 13 87.3166666666667 115.611 13
"451" "Woogenellup" "S3" 16 100 153.9485 16
"452" "Woogenellup" "S3" 20 99.2066666666667 205.845 20
"453" "Woogenellup" "S4" 0 0 0 0
"454" "Woogenellup" "S4" 2 0 24.3200000000002 2
"455" "Woogenellup" "S4" 4 18.5233333333333 53.5135 4
"456" "Woogenellup" "S4" 6 50.2333333333333 79.3665000000001 6
"457" "Woogenellup" "S4" 9 60.2233333333333 113.545 9
"458" "Woogenellup" "S4" 12 70.9166666666667 147.0315 12
"459" "Woogenellup" "S4" 14 77.8666666666667 164.6385 14
"460" "Woogenellup" "S4" 17 89.4366666666667 204.61 17
"461" "Woogenellup" "S4" 20 99.4266666666667 260.072 20
"462" "Woogenellup" "S4" 23 100 313.2095 23
"463" "Woogenellup" "S4" 25 100 341.4115 25
"464" "Woogenellup" "S5" 0 0 0 0
