"Plot" "Cultivar" "SowingD" "SowTreat" "sample_area_m2" "Block" "Depth" "bur_total_weight_g" "bur_no_subSample" "bur_weight_subSample_g" "seed_weight_g" "Seedskg_ha"
40 "Leura" "15/09/2015" "S3" 0.2 1 "Below" 78.69 50 3.19 1.444 1781.00877742947
41 "Narrikup" "15/09/2015" "S3" 0.2 1 "Above" 60.1 50 3.7 1.506 1223.11621621622
41 "Narrikup" "15/09/2015" "S3" 0.2 1 "Below" 71.5 50 4 1.493 1334.36875
42 "Monti" "15/09/2015" "S3" 0.2 1 "Above" 82.3 50 3.2 1.412 1815.74375
42 "Monti" "15/09/2015" "S3" 0.2 1 "Below" 53.6 50 4.1 1.553 1015.13170731707
43 "Woogenellup" "15/09/2015" "S3" 0.2 2 "Above" 78.37 50 2.37 1.133 1873.27447257384
43 "Woogenellup" "15/09/2015" "S3" 0.2 2 "Below" 31.2 50 2.7 1.34 774.222222222222
44 "Leura" "15/09/2015" "S3" 0.2 2 "Above" 12.32 50 3.32 1.236 229.330120481928
44 "Leura" "15/09/2015" "S3" 0.2 2 "Below" 87 50 3 1.5 2175
45 "Narrikup" "15/09/2015" "S3" 0.2 2 "Above" 49.1 50 3.4 1.43 1032.54411764706
45 "Narrikup" "15/09/2015" "S3" 0.2 2 "Below" 83.1 50 3.7 1.567 1759.69864864865
46 "Antas" "15/09/2015" "S3" 0.2 2 "Above" 113.07 50 5.58 1.725 1747.72177419355
46 "Antas" "15/09/2015" "S3" 0.2 2 "Below" 125.12 50 5.92 1.599 1689.75405405405
47 "Denmark" "15/09/2015" "S3" 0.2 2 "Above" 87.51 50 3.31 1.565 2068.77870090634
47 "Denmark" "15/09/2015" "S3" 0.2 2 "Below" 35.2 50 4.2 1.623 680.114285714286
48 "Monti" "15/09/2015" "S3" 0.2 2 "Above" 75.1 50 3 1.233 1543.305
48 "Monti" "15/09/2015" "S3" 0.2 2 "Below" 40.3 50 4.1 1.382 679.20243902439
49 "Leura" "15/09/2015" "S3" 0.2 3 "Above" 11.06 50 4.26 1.446 187.708450704225
49 "Leura" "15/09/2015" "S3" 0.2 3 "Below" 78.2 50 3.9 1.577 1581.04358974359
50 "Woogenellup" "15/09/2015" "S3" 0.2 3 "Above" 36.45 50 2.45 1.116 830.167346938775
50 "Woogenellup" "15/09/2015" "S3" 0.2 3 "Below" 54.73 50 2.73 1.298 1301.09047619048
51 "Antas" "15/09/2015" "S3" 0.2 3 "Above" 90.25 50 5.47 1.865 1538.53976234004
51 "Antas" "15/09/2015" "S3" 0.2 3 "Below" 38.02 50 7.51 2.295 580.931424766977
52 "Monti" "15/09/2015" "S3" 0.2 3 "Above" 35.3 50 2.7 1.129 738.031481481481
52 "Monti" "15/09/2015" "S3" 0.2 3 "Below" 10.1 50 2.8 1.133 204.344642857143
53 "Narrikup" "15/09/2015" "S3" 0.2 3 "Above" 78.5 50 3.1 1.274 1613.04838709677
53 "Narrikup" "15/09/2015" "S3" 0.2 3 "Below" 87.7 50 2.7 1.372 2228.22962962963
54 "Denmark" "15/09/2015" "S3" 0.2 3 "Above" 37.35 50 2.75 1.141 774.842727272727
54 "Denmark" "15/09/2015" "S3" 0.2 3 "Below" 45.46 50 2.46 0.944 872.240650406504
55 "Narrikup" "5/11/2015" "S4" 0.1 1 "Above" 37.71 50 2.08 0.841 1524.71682692308
55 "Narrikup" "5/11/2015" "S4" 0.1 1 "Below" 12.1 50 3.83 1.86 587.624020887728
56 "Antas" "5/11/2015" "S4" 0.1 1 "Above" 7.99 50 2.52 0.813 257.772619047619
56 "Antas" "5/11/2015" "S4" 0.1 1 "Below" 0.49 13 0.49 0.285 28.5
57 "Denmark" "5/11/2015" "S4" 0.1 1 "Above" 5.7 50 2.31 1.717 423.675324675325
57 "Denmark" "5/11/2015" "S4" 0.1 1 "Below" 1.5 35 1.5 0.448 44.8
58 "Leura" "5/11/2015" "S4" 0.1 1 "Above" 2.32 50 2.09 1.7 188.708133971292
58 "Leura" "5/11/2015" "S4" 0.1 1 "Below" 0.09 6 0.09 0.058 5.8
59 "Monti" "5/11/2015" "S4" 0.1 1 "Above" 24.25 50 2.59 1.181 1105.76254826255
59 "Monti" "5/11/2015" "S4" 0.1 1 "Below" 26.14 50 2.97 1.432 1260.35286195286
60 "Woogenellup" "5/11/2015" "S4" 0.1 1 "Above" 9.12 50 1.71 1.27 677.333333333333
60 "Woogenellup" "5/11/2015" "S4" 0.1 1 "Below" 0.44 27 0.44 0.285 28.5
61 "Antas" "5/11/2015" "S4" 0.1 2 "Above" 14.23 50 3.25 1.347 589.778769230769
61 "Antas" "5/11/2015" "S4" 0.1 2 "Below" 2.36 39 2.36 1.241 124.1
62 "Woogenellup" "5/11/2015" "S4" 0.1 2 "Above" 8.36 50 1.41 1.482 878.689361702127
62 "Woogenellup" "5/11/2015" "S4" 0.1 2 "Below" 0.26 15 0.26 0.354 35.4
63 "Narrikup" "5/11/2015" "S4" 0.1 2 "Above" 23.93 50 2.39 0.766 766.961506276151
63 "Narrikup" "5/11/2015" "S4" 0.1 2 "Below" 10.74 50 2.83 1.71 648.95406360424
64 "Leura" "5/11/2015" "S4" 0.1 2 "Above" 0.7 28 0.7 0.358 35.8
64 "Leura" "5/11/2015" "S4" 0.1 2 "Below" 0.03 1 0.03 0.005 0.5
65 "Denmark" "5/11/2015" "S4" 0.1 2 "Above" 0.97 27 0.97 0.688 68.8
65 "Denmark" "5/11/2015" "S4" 0.1 2 "Below" 0.08 6 0.08 0.041 4.1
66 "Monti" "5/11/2015" "S4" 0.1 2 "Above" 37.07 50 2.61 1.812 2573.59540229885
66 "Monti" "5/11/2015" "S4" 0.1 2 "Below" 32.34 50 2.62 0.991 1223.24198473282
67 "Leura" "5/11/2015" "S4" 0.1 3 "Above" 0.63 29 0.63 0.272 27.2
67 "Leura" "5/11/2015" "S4" 0.1 3 "Below" 0.95 28 0.95 0.139 13.9
68 "Monti" "5/11/2015" "S4" 0.1 3 "Above" 26.9 50 1.21 0.812 1805.19008264463
68 "Monti" "5/11/2015" "S4" 0.1 3 "Below" 24.44 50 2.4 1.176 1197.56
69 "Narrikup" "5/11/2015" "S4" 0.1 3 "Above" 28.26 50 2.81 1.224 1230.96939501779
69 "Narrikup" "5/11/2015" "S4" 0.1 3 "Below" 21.55 50 5.02 1.915 822.076693227092
70 "Antas" "5/11/2015" "S4" 0.1 3 "Above" 5.13 50 3.01 1.073 182.87342192691
70 "Antas" "5/11/2015" "S4" 0.1 3 "Below" 1.4 19 1.4 0.64 64
71 "Woogenellup" "5/11/2015" "S4" 0.1 3 "Above" 8.2 50 1.93 1.289 547.658031088083
71 "Woogenellup" "5/11/2015" "S4" 0.1 3 "Below" 1.1 45 1.1 0.665 66.5
72 "Denmark" "5/11/2015" "S4" 0.1 3 "Above" 8.24 50 2.06 1.024 409.6
72 "Denmark" "5/11/2015" "S4" 0.1 3 "Below" 0.6 30 0.6 0.438 43.8
91 "Denmark" "17/02/2016" "S6" 0.13 1 "Above" 8.86 50 1.76 0.737 285.394230769231
91 "Denmark" "17/02/2016" "S6" 0.13 1 "Below" 1.28 50 1.28 0.385 29.6153846153846
92 "Monti" "17/02/2016" "S6" 0.13 1 "Above" 36.68 50 1.88 0.676 1014.55319148936
92 "Monti" "17/02/2016" "S6" 0.13 1 "Below" 4.77 50 2.7 0.499 67.8128205128205
93 "Woogenellup" "17/02/2016" "S6" 0.13 1 "Above" 2.09 59 2.09 0.704 54.1538461538461
93 "Woogenellup" "17/02/2016" "S6" 0.13 1 "Below" 2.26 57 2.26 0.529 40.6923076923077
94 "Leura" "17/02/2016" "S6" 0.13 1 "Above" 0.82 41 0.82 0.276 21.2307692307692
94 "Leura" "17/02/2016" "S6" 0.13 1 "Below" 0.74 21 0.74 0.137 10.5384615384615
95 "Antas" "17/02/2016" "S6" 0.13 1 "Above" 1.53 51 1.53 0.234 18
95 "Antas" "17/02/2016" "S6" 0.13 1 "Below" 1.43 40 1.43 0.128 9.84615384615384
96 "Narrikup" "17/02/2016" "S6" 0.13 1 "Above" 3.64 50 0.8 0.306 107.1
96 "Narrikup" "17/02/2016" "S6" 0.13 1 "Below" 0.93 53 0.93 0.132 10.1538461538462
97 "Leura" "17/02/2016" "S6" 0.13 2 "Above" 1.7 50 1.13 0.459 53.1177671885637
97 "Leura" "17/02/2016" "S6" 0.13 2 "Below" 0.37 25 0.37 0.08 6.15384615384615
98 "Monti" "17/02/2016" "S6" 0.13 2 "Above" 22.84 50 1.85 0.332 315.296465696466
98 "Monti" "17/02/2016" "S6" 0.13 2 "Below" 3.04 63 3.04 0.244 18.7692307692308
99 "Woogenellup" "17/02/2016" "S6" 0.13 2 "Above" 1.01 35 1.01 0.236 18.1538461538462
99 "Woogenellup" "17/02/2016" "S6" 0.13 2 "Below" 0.74 16 0.74 0.112 8.61538461538461
100 "Denmark" "17/02/2016" "S6" 0.13 2 "Above" 2.12 85 25.12 0.728 4.72611464968153
100 "Denmark" "17/02/2016" "S6" 0.13 2 "Below" 2.96 85 2.96 0.845 65
101 "Narrikup" "17/02/2016" "S6" 0.13 2 "Above" 3.88 50 1.18 0.383 96.8735332464146
101 "Narrikup" "17/02/2016" "S6" 0.13 2 "Below" 1.03 26 1.03 0.143 11
102 "Antas" "17/02/2016" "S6" 0.13 2 "Above" 3.46 50 1.49 0.264 47.1574599896748
102 "Antas" "17/02/2016" "S6" 0.13 2 "Below" 2.74 49 2.74 0.429 33
103 "Woogenellup" "17/02/2016" "S6" 0.13 3 "Above" 1.46 41 1.46 0.161 12.3846153846154
103 "Woogenellup" "17/02/2016" "S6" 0.13 3 "Below" 0.25 13 0.25 0.021 1.61538461538462
104 "Leura" "17/02/2016" "S6" 0.13 3 "Above" 0.34 25 0.34 0.1 7.69230769230769
104 "Leura" "17/02/2016" "S6" 0.13 3 "Below" 0.08 7 0.08 0.008 0.615384615384615
105 "Antas" "17/02/2016" "S6" 0.13 3 "Above" 2.56 50 2.15 0.426 39.0182468694097
105 "Antas" "17/02/2016" "S6" 0.13 3 "Below" 1.89 35 1.89 0.13 10
106 "Denmark" "17/02/2016" "S6" 0.13 3 "Above" 0.89 47 0.89 0.321 24.6923076923077
106 "Denmark" "17/02/2016" "S6" 0.13 3 "Below" 0.27 12 0.27 0.098 7.53846153846154
107 "Narrikup" "17/02/2016" "S6" 0.13 3 "Above" 4.54 50 1.34 0.385 100.338691159587
107 "Narrikup" "17/02/2016" "S6" 0.13 3 "Below" 2.02 50 2.02 0.392 30.1538461538462
108 "Monti" "17/02/2016" "S6" 0.13 3 "Above" 30.01 50 2.6 0.711 631.275443786982
