Cultivar 	Wavelength	Absorbance
Antas 	3208.99241	0.04039
Antas 	3207.06393	0.04025
Antas 	3205.13544	0.0401
Antas 	3203.20696	0.03993
Antas 	3201.27848	0.03972
Antas 	3199.35	0.03949
Antas 	3197.42152	0.03927
Antas 	3195.49304	0.03908
Antas 	3193.56456	0.03891
Antas 	3191.63608	0.03873
Antas 	3189.7076	0.03853
Antas 	3187.77912	0.03832
Antas 	3185.85063	0.03814
Antas 	3183.92215	0.03796
Antas 	3181.99367	0.03776
Antas 	3180.06519	0.03756
Antas 	3178.13671	0.03733
Antas 	3176.20823	0.03708
Antas 	3174.27975	0.03686
Antas 	3172.35127	0.03666
Antas 	3170.42279	0.03644
Antas 	3168.49431	0.03623
Antas 	3166.56582	0.03603
Antas 	3164.63734	0.03582
Antas 	3162.70886	0.03559
Antas 	3160.78038	0.03538
Antas 	3158.8519	0.03517
Antas 	3156.92342	0.03495
Antas 	3154.99494	0.03472
Antas 	3153.06646	0.0345
Antas 	3151.13798	0.03428
Antas 	3149.20949	0.03408
Antas 	3147.28101	0.03386
Antas 	3145.35253	0.03364
Antas 	3143.42405	0.03342
Antas 	3141.49557	0.03321
Antas 	3139.56709	0.03301
Antas 	3137.63861	0.03282
Antas 	3135.71013	0.03262
Antas 	3133.78165	0.03238
Antas 	3131.85317	0.03212
Antas 	3129.92468	0.0319
Antas 	3127.9962	0.03172
Antas 	3126.06772	0.03154
Antas 	3124.13924	0.03133
Antas 	3122.21076	0.0311
Antas 	3120.28228	0.03088
Antas 	3118.3538	0.03067
Antas 	3116.42532	0.03048
Antas 	3114.49684	0.03029
Antas 	3112.56836	0.03009
Antas 	3110.63987	0.0299
Antas 	3108.71139	0.02971
Antas 	3106.78291	0.02953
Antas 	3104.85443	0.02934
Antas 	3102.92595	0.02916
Antas 	3100.99747	0.02898
Antas 	3099.06899	0.02881
Antas 	3097.14051	0.02868
Antas 	3095.21203	0.02855
Antas 	3093.28355	0.0284
Antas 	3091.35506	0.02824
Antas 	3089.42658	0.02808
Antas 	3087.4981	0.0279
