Cultivar	IncubationDays 	Wavelenght	Absorbance
Antas 	0	3471.26582	0.03471
Antas 	0	3469.33734	0.03503
Antas 	0	3467.40886	0.03543
Antas 	0	3465.48038	0.03585
Antas 	0	3463.5519	0.03624
Antas 	0	3461.62342	0.0367
Antas 	0	3459.69494	0.0372
Antas 	0	3457.76646	0.03756
Antas 	0	3455.83798	0.03782
Antas 	0	3453.9095	0.03818
Antas 	0	3451.98101	0.03862
Antas 	0	3450.05253	0.03899
Antas 	0	3448.12405	0.03934
Antas 	0	3446.19557	0.03973
Antas 	0	3444.26709	0.04012
Antas 	0	3442.33861	0.04051
Antas 	0	3440.41013	0.04085
Antas 	0	3438.48165	0.04114
Antas 	0	3436.55317	0.04145
Antas 	0	3434.62468	0.04182
Antas 	0	3432.6962	0.04227
Antas 	0	3430.76772	0.04276
Antas 	0	3428.83924	0.04317
Antas 	0	3426.91076	0.04343
Antas 	0	3424.98228	0.04361
Antas 	0	3423.0538	0.04391
Antas 	0	3421.12532	0.04441
Antas 	0	3419.19684	0.04495
Antas 	0	3417.26836	0.04533
Antas 	0	3415.33987	0.04557
Antas 	0	3413.41139	0.04582
Antas 	0	3411.48291	0.04613
Antas 	0	3409.55443	0.04646
Antas 	0	3407.62595	0.04679
Antas 	0	3405.69747	0.0471
Antas 	0	3403.76899	0.0474
Antas 	0	3401.84051	0.0477
Antas 	0	3399.91203	0.04803
Antas 	0	3397.98355	0.04837
Antas 	0	3396.05506	0.04861
Antas 	0	3394.12658	0.04875
Antas 	0	3392.1981	0.04897
Antas 	0	3390.26962	0.04933
Antas 	0	3388.34114	0.04968
Antas 	0	3386.41266	0.04997
Antas 	0	3384.48418	0.05022
Antas 	0	3382.5557	0.05039
Antas 	0	3380.62722	0.05051
Antas 	0	3378.69874	0.05067
Antas 	0	3376.77025	0.05088
Antas 	0	3374.84177	0.05114
Antas 	0	3372.91329	0.05146
Antas 	0	3370.98481	0.05172
Antas 	0	3369.05633	0.05187
Antas 	0	3367.12785	0.05204
Antas 	0	3365.19937	0.05223
Antas 	0	3363.27089	0.05239
Antas 	0	3361.34241	0.05261
Antas 	0	3359.41393	0.05291
Antas 	0	3357.48544	0.05311
Antas 	0	3355.55696	0.05319
Antas 	0	3353.62848	0.05328
Antas 	0	3351.7	0.05347
Antas 	0	3349.77152	0.05371
Antas 	0	3347.84304	0.05394
Antas 	0	3345.91456	0.05416
Antas 	0	3343.98608	0.05437
Antas 	0	3342.0576	0.05449
Antas 	0	3340.12912	0.05449
Antas 	0	3338.20063	0.05452
Antas 	0	3336.27215	0.05468
Antas 	0	3334.34367	0.05487
Antas 	0	3332.41519	0.05506
Antas 	0	3330.48671	0.05525
Antas 	0	3328.55823	0.05536
Antas 	0	3326.62975	0.05545
Antas 	0	3324.70127	0.0556
Antas 	0	3322.77279	0.05574
Antas 	0	3320.84431	0.05583
Antas 	0	3318.91582	0.05583
Antas 	0	3316.98734	0.05582
Antas 	0	3315.05886	0.05588
Antas 	0	3313.13038	0.05597
Antas 	0	3311.2019	0.05604
Antas 	0	3309.27342	0.05609
Antas 	0	3307.34494	0.05615
Antas 	0	3305.41646	0.05626
Antas 	0	3303.48798	0.0564
Antas 	0	3301.55949	0.05644
Antas 	0	3299.63101	0.05639
Antas 	0	3297.70253	0.05637
Antas 	0	3295.77405	0.0564
Antas 	0	3293.84557	0.05645
Antas 	0	3291.91709	0.05651
Antas 	0	3289.98861	0.05658
Antas 	0	3288.06013	0.05667
Antas 	0	3286.13165	0.05673
Antas 	0	3284.20317	0.05669
Antas 	0	3282.27468	0.05659
Antas 	0	3280.3462	0.05655
Antas 	0	3278.41772	0.05655
Antas 	0	3276.48924	0.05654
Antas 	0	3274.56076	0.05645
Antas 	0	3272.63228	0.05626
Antas 	0	3270.7038	0.05611
Antas 	0	3268.77532	0.05611
Antas 	0	3266.84684	0.05612
Antas 	0	3264.91836	0.05597
Antas 	0	3262.98987	0.05576
Antas 	0	3261.06139	0.05562
Antas 	0	3259.13291	0.0555
Antas 	0	3257.20443	0.05536
Antas 	0	3255.27595	0.05516
Antas 	0	3253.34747	0.05491
Antas 	0	3251.41899	0.05472
Antas 	0	3249.49051	0.05466
Antas 	0	3247.56203	0.05457
Antas 	0	3245.63355	0.05436
Antas 	0	3243.70506	0.05414
Antas 	0	3241.77658	0.05398
Antas 	0	3239.8481	0.05385
Antas 	0	3237.91962	0.05366
Antas 	0	3235.99114	0.05343
Antas 	0	3234.06266	0.05321
Antas 	0	3232.13418	0.05297
Antas 	0	3230.2057	0.0527
Antas 	0	3228.27722	0.05251
