wavelength	spc
3606.48264	0.02664
3604.55404	0.02686
3602.62544	0.02711
3600.69684	0.02728
3598.76824	0.02741
3596.83964	0.02769
3594.91104	0.02810
3592.98244	0.02842
3591.05384	0.02855
3589.12524	0.02864
3587.19664	0.02887
3585.26804	0.02919
3583.33944	0.02945
3581.41084	0.02971
3579.48224	0.03001
3577.55364	0.03026
3575.62504	0.03044
3573.69644	0.03062
3571.76784	0.03087
3569.83924	0.03123
3567.91064	0.03176
3565.98204	0.03235
3564.05344	0.03267
3562.12484	0.03284
3560.19624	0.03317
3558.26764	0.03367
3556.33904	0.03409
3554.41044	0.03437
3552.48184	0.03463
3550.55323	0.03491
3548.62463	0.03525
3546.69603	0.03566
3544.76743	0.03611
3542.83883	0.03646
3540.91023	0.03670
3538.98163	0.03695
3537.05303	0.03736
3535.12443	0.03781
3533.19583	0.03819
3531.26723	0.03853
3529.33863	0.03890
3527.41003	0.03923
3525.48143	0.03948
3523.55283	0.03968
3521.62423	0.03995
3519.69563	0.04027
3517.76703	0.04056
3515.83843	0.04084
3513.90983	0.04119
3511.98123	0.04155
3510.05263	0.04189
3508.12403	0.04219
3506.19543	0.04242
3504.26683	0.04262
3502.33823	0.04294
3500.40963	0.04338
3498.48103	0.04384
3496.55243	0.04424
3494.62382	0.04451
3492.69522	0.04469
3490.76662	0.04487
3488.83802	0.04515
3486.90942	0.04550
3484.98082	0.04583
3483.05222	0.04605
3481.12362	0.04622
3479.19502	0.04641
3477.26642	0.04666
3475.33782	0.04688
3473.40922	0.04701
3471.48062	0.04713
3469.55202	0.04729
3467.62342	0.04747
3465.69482	0.04764
3463.76622	0.04779
3461.83762	0.04790
3459.90902	0.04807
3457.98042	0.04834
3456.05182	0.04864
3454.12322	0.04881
3452.19462	0.04887
3450.26602	0.04894
3448.33742	0.04906
3446.40882	0.04920
3444.48022	0.04934
3442.55162	0.04946
3440.62302	0.04961
3438.69441	0.04976
3436.76581	0.04991
3434.83721	0.05002
3432.90861	0.05008
3430.98001	0.05021
3429.05141	0.05044
3427.12281	0.05059
3425.19421	0.05062
3423.26561	0.05071
3421.33701	0.05088
3419.40841	0.05102
3417.47981	0.05114
3415.55121	0.05122
3413.62261	0.05128
3411.69401	0.05135
3409.76541	0.05145
