LocationYear	AuthorYear 	YearExperiment	Location	Country	Treatcultivar	SowingDate	StartFlowering	DaysToFlower 	FlowerPercent
NA	FrancisAndGladstone1974	NA	Perth	AU	SeatonPark	NA	NA	98	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Dinninup	NA	NA	104	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	NorthamB3	NA	NA	102	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	MahoganyCreek	NA	NA	96	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	BassendeanH	NA	NA	102	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Woogenellup	NA	NA	106	NA
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Breedinglines	3/05/1993	9/10/1993	159.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	MediterraneanEcotypes_subterraneum	3/05/1993	19/10/1993	169.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	SardinianEcotypes_subterraneum	3/05/1993	15/10/1993	165.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Whatawhataws536	3/05/1993	24/10/1993	174.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Whatawhataws1737	3/05/1993	24/10/1993	174.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Whatawhataws1801	3/05/1993	18/10/1993	168.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	PalmerstonNAK920	3/05/1993	24/10/1993	174.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	PalmerstonAK948	3/05/1993	15/10/1993	165.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Dalkeith	3/05/1993	13/09/1993	133.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	SeatonPark	3/05/1993	24/09/1993	144.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Trikkala	3/05/1993	26/09/1993	146.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Gosse	3/05/1993	8/10/1993	158.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Junee	3/05/1993	10/10/1993	160.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Woogenellup	3/05/1993	10/10/1993	160.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Clare	3/05/1993	10/10/1993	160.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	MtBarker	3/05/1993	12/10/1993	162.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Goulburn	3/05/1993	12/10/1993	162.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Karridale	3/05/1993	14/10/1993	164.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Nangeela	3/05/1993	16/10/1993	166.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Denmark	3/05/1993	16/10/1993	166.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Larisa	3/05/1993	20/10/1993	170.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Leura	3/05/1993	23/10/1993	173.0	50.00
Templeton1992	WiddupAndPennel_2000	1993	Templeton	NZ	Tallarook	3/05/1993	26/10/1993	176.0	50.00
Melbourne1969	CollinsAndAitken1970	1969	Melbourne	AU	MtBarker	15/08/1969	23/11/1969	100	50.00
Melbourne1969	CollinsAndAitken1970	1969	Melbourne	AU	MtBarker	28/07/1969	18/11/1969	113	50.00
NA	Rossiter1978	NA	Perth	AU	Daliak	1/07/1978	NA	NA	NA
NA	Rossiter1978	NA	Perth	AU	Gingin	6/07/1978	NA	NA	NA
NA	MorleyAndDAvern1956	1955	Canberra 	AU	Dwalganup	NA	NA	NA	NA
