AuthorYear 	YearExperiment	Treatcultivar	SowingDate	StartFlowering	DaysToFlower 	Ttsow	Ttflow	Tttoflower	PhotopAtSowing	PhotopAtTtTarget	PhotopAverage	TtFlowerAdjusted
Smetham1968	1965	Dwang	17/02/1965	30/09/1965	225.0	1110.9	2795.4	1684.5	15.0	14.1	10.0	1684.5
Smetham1968	1965	Geraldton	17/02/1965	30/09/1965	225.0	1110.9	2795.4	1684.5	15.0	14.1	10.0	1684.5
Smetham1968	1965	Yarloop	17/02/1965	30/09/1965	225.0	1110.9	2795.4	1684.5	15.0	14.1	10.0	1684.5
Smetham1968	1965	Burrelmedic	17/02/1965	30/09/1965	225.0	1110.9	2795.4	1684.5	15.0	14.1	10.0	1684.5
Smetham1968	1965	Woogenellup	17/02/1965	15/10/1965	240.0	1110.9	2922.6	1811.7	15.0	14.1	9.9	1811.7
Smetham1968	1965	Clare	17/02/1965	15/10/1965	240.0	1110.9	2922.6	1811.7	15.0	14.1	9.9	1811.7
Smetham1968	1965	MtBarker	17/02/1965	22/10/1965	247.0	1110.9	2999.2	1888.3	15.0	14.1	9.9	1888.3
Smetham1968	1965	EdenHope	17/02/1965	22/10/1965	247.0	1110.9	2999.2	1888.3	15.0	14.1	9.9	1888.3
Smetham1968	1965	BacchusM	17/02/1965	22/10/1965	247.0	1110.9	2999.2	1888.3	15.0	14.1	9.9	1888.3
Smetham1968	1965	Kilmore	17/02/1965	22/10/1965	247.0	1110.9	2999.2	1888.3	15.0	14.1	9.9	1888.3
Smetham1968	1965	Nangeela	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2
Smetham1968	1965	Derrinal	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2
Smetham1968	1965	Wenigup	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2
Smetham1968	1965	TallarookvsWenig	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2
Smetham1968	1965	Boomerang	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2
Smetham1968	1965	Portugal294	17/02/1965	30/10/1965	255.0	1110.9	3101.1	1990.2	15.0	14.1	9.9	1990.2
Smetham1968	1965	Bena	17/02/1965	15/11/1965	271.0	1110.9	3291.9	2181.1	15.0	14.1	9.9	2181.1
Smetham1968	1965	Tallarook	17/02/1965	15/11/1965	271.0	1110.9	3291.9	2181.1	15.0	14.1	9.9	2181.1
Aitken1955	1952	Dwang	8/04/1952	16/09/1952	162	NA	NA	NA	NA	NA	NA	NA
